instance_id,pose_label,left_finger_state_0,left_finger_state_1,left_finger_state_2,left_finger_state_3,left_finger_state_4,right_finger_state_0,right_finger_state_1,right_finger_state_2,right_finger_state_3,right_finger_state_4,motion_x_start,motion_y_start,motion_x_mid,motion_y_mid,motion_x_end,motion_y_end,main_axis_x,main_axis_y,delta_x,delta_y
1,rotate_right,0,0,0,0,0,0,1,0,0,0,0.6019944846630096,0.8936667442321777,0.8137613534927368,0.8912200530370077,0.8612652122974396,0.9317165017127991,1,0,0.25927072763442993,0.0
2,rotate_right,0,0,0,0,0,0,1,0,0,0,0.5816693305969238,0.9056570827960968,0.805143415927887,0.8921104868253072,0.848392903804779,0.9213576316833496,1,0,0.2667235732078552,0.0
3,rotate_right,0,0,0,0,0,0,1,0,0,0,0.5870076715946198,0.9032996594905853,0.7533637881278992,0.8733962972958883,0.8538280725479126,0.8966012895107269,1,0,0.26682040095329285,0.0
4,rotate_right,0,0,0,0,0,0,1,0,0,0,0.5743547677993774,0.8911441266536713,0.771461546421051,0.8899097641309103,0.8314254283905029,0.9209098517894745,1,0,0.2570706605911255,0.0
5,rotate_right,0,0,0,0,0,0,1,0,0,0,0.577729344367981,0.9084550738334656,0.7354308764139811,0.882956882317861,0.8660106360912323,0.908608078956604,1,0,0.28828129172325134,0.0
6,rotate_left,0,0,0,0,0,0,1,0,0,0,0.7672458291053772,0.7942275404930115,0.5884276827176412,0.8234502474466959,0.5244994461536407,0.8479078114032745,1,0,-0.24274638295173645,0.0
7,rotate_left,0,0,0,0,0,0,1,0,0,0,0.8056981265544891,0.8333125114440918,0.6042654712994894,0.8685193459192911,0.5679987967014313,0.8811193406581879,1,0,-0.23769932985305786,0.0
8,rotate_left,0,0,0,0,0,0,1,0,0,0,0.882560670375824,0.9010808765888214,0.6185507376988729,0.8782318433125814,0.5683780312538147,0.8717646300792694,1,0,-0.3141826391220093,0.0
9,rotate_left,0,0,0,0,0,0,1,0,0,0,0.850769579410553,0.8617867529392242,0.6324018041292826,0.882178544998169,0.5693022310733795,0.9117168188095093,1,0,-0.28146734833717346,0.0
10,rotate_left,0,0,0,0,0,0,1,0,0,0,0.8553470969200134,0.8622839748859406,0.6504950523376465,0.8593308528264364,0.5581350922584534,0.8689806759357452,1,0,-0.29721200466156006,0.0
